id,account,username,email,first_name,last_name,is_activate,is_staff,verificated,requested_instructor,picture,banner,location,url,birthday,profile_info,date_created,pais,edad,salario,comprado
12,0x6e22c5bdd003255b3140b4d54ba051ff5be56b3c,0x6e22c5bdd003255b3140b4d54ba051ff5be56b3c,0x6e22c5bdd003255b3140b4d54ba051ff5be56b3c,,,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2023-05-18 19:09:47,,,,
11,0x1261257a8ba9b0f50c72936ec9b5aedeaebb0541,0x1261257a8ba9b0f50c72936ec9b5aedeaebb0541,0x1261257a8ba9b0f50c72936ec9b5aedeaebb0541,Carlos,Torreyes,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2023-05-18 19:09:14,Colombia,24,1000,1
10,0xdaac7630a949ac09b76e1cf261d45892eb6759f0,0xdaac7630a949ac09b76e1cf261d45892eb6759f0,0xdaac7630a949ac09b76e1cf261d45892eb6759f0,Benito,Camela,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2023-05-18 19:08:38,Perú,,9000,0
9,0x8cc1e2648603c4a061d5526f15437455a16bfac8,0x8cc1e2648603c4a061d5526f15437455a16bfac8,0x8cc1e2648603c4a061d5526f15437455a16bfac8,Carmel,Medina,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2023-05-18 19:08:07,Colombia,27,,1
8,0x1c1f86cb15decedfc2d6ae48ac8bb93f0b883e71,0x1c1f86cb15decedfc2d6ae48ac8bb93f0b883e71,0x1c1f86cb15decedfc2d6ae48ac8bb93f0b883e71,Joselin,Leon,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2023-05-18 19:07:11,Perú,23,30000,1
7,0xce1cdb65c574a434bb64394444b4bbe307d0d4ae,0xce1cdb65c574a434bb64394444b4bbe307d0d4ae,0xce1cdb65c574a434bb64394444b4bbe307d0d4ae,Melanie,De Armas,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2023-05-18 19:06:33,Ecuador,40,1000,1
6,0x6036a04a3f612db1dd3a98a33f689ddc473990ce,0x6036a04a3f612db1dd3a98a33f689ddc473990ce,0x6036a04a3f612db1dd3a98a33f689ddc473990ce,Kristen,Stuard,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2023-05-18 19:06:02,Colombia,30,2000,1
5,0x15bd7e83fa0fb352f24d456c7fed7960229f7beb,0x15bd7e83fa0fb352f24d456c7fed7960229f7beb,0x15bd7e83fa0fb352f24d456c7fed7960229f7beb,Kate,Upton,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2023-05-18 19:05:24,Ecuador,35,200000,1
4,0x8a56930f3532c1d9499d348c05bf635ca48405d4,0x8a56930f3532c1d9499d348c05bf635ca48405d4,0x8a56930f3532c1d9499d348c05bf635ca48405d4,Malena,Costa,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2023-05-18 19:04:30,España,40,30,1
3,0x98f9a10d19a06392433d899a66f57eab437ade24,0x98f9a10d19a06392433d899a66f57eab437ade24,0x98f9a10d19a06392433d899a66f57eab437ade24,Cristina,Aguilera,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2023-05-18 19:03:21,España,40,4000,1
2,0xf25cc5c9276ff7876813eacc64cb6d803b0e029f,0xf25cc5c9276ff7876813eacc64cb6d803b0e029f,0xf25cc5c9276ff7876813eacc64cb6d803b0e029f,Marc,Shelby,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2023-05-17 10:47:41,Ecuador,21,100000,1
